solarSystemID	planetID	planetName	planetTypeID	typeName	typeIconID
30000001	40000002	Tanoo I	11	Temperate	10136
30000001	40000005	Tanoo II	11	Temperate	10136
30000001	40000007	Tanoo III	2016	Barren	10135
30000001	40000008	Tanoo IV	2014	Oceanic	10142
30000001	40000011	Tanoo V	13	Gas	10139
30000001	40000017	Tanoo VI	2014	Oceanic	10142
30000002	40000020	Lashesih I	2016	Barren	10135
30000002	40000022	Lashesih II	2016	Barren	10135
30000002	40000024	Lashesih III	2015	Lava	10133
30000002	40000028	Lashesih IV	11	Temperate	10136
30000002	40000031	Lashesih V	11	Temperate	10136
30000002	40000033	Lashesih VI	11	Temperate	10136
30000002	40000037	Lashesih VII	11	Temperate	10136
30000003	40000041	Akpivem I	2016	Barren	10135
30000003	40000043	Akpivem II	2014	Oceanic	10142
30000003	40000046	Akpivem III	13	Gas	10139
30000003	40000055	Akpivem IV	13	Gas	10139
30000003	40000074	Akpivem V	13	Gas	10139
30000003	40000100	Akpivem VI	13	Gas	10139
30000003	40000123	Akpivem VII	12	Ice	10137
30000004	40000130	Jark I	2017	Storm	10134
30000004	40000132	Jark II	11	Temperate	10136
30000004	40000134	Jark III	2017	Storm	10134
30000004	40000137	Jark IV	11	Temperate	10136
30000004	40000139	Jark V	13	Gas	10139
30000004	40000164	Jark VI	13	Gas	10139
30000004	40000185	Jark VII	13	Gas	10139
30000005	40000191	Sasta I	2016	Barren	10135
30000005	40000193	Sasta II	2015	Lava	10133
30000005	40000194	Sasta III	13	Gas	10139
30000005	40000196	Sasta IV	13	Gas	10139
30000005	40000200	Sasta V	13	Gas	10139
30000005	40000215	Sasta VI	13	Gas	10139
30000005	40000236	Sasta VII	13	Gas	10139
30000005	40000256	Sasta VIII	13	Gas	10139
30000005	40000282	Sasta IX	12	Ice	10137
30000006	40000292	Zaid I	2015	Lava	10133
30000006	40000293	Zaid II	2016	Barren	10135
30000006	40000294	Zaid III	2016	Barren	10135
30000006	40000297	Zaid IV	2016	Barren	10135
30000006	40000298	Zaid V	2017	Storm	10134
30000006	40000300	Zaid VI	2014	Oceanic	10142
30000006	40000304	Zaid VII	13	Gas	10139
30000006	40000323	Zaid VIII	2016	Barren	10135
30000006	40000326	Zaid IX	13	Gas	10139
30000007	40000333	Yuzier I	2016	Barren	10135
30000007	40000335	Yuzier II	11	Temperate	10136
30000007	40000337	Yuzier III	11	Temperate	10136
